State,Administered,Percentage ,id,Popu,less18per,f18t29per,f30t39per,f40t49per,f50t64per,f65t74per,f75pper,less18,f18t29,f30t39,f40t49,f50t64,f65t74,f75p,less18D1per,f18t29D1per,f30t39D1per,f40t49D1per,f50t64D1per,f65t74D1per,f75pD1per,less18D1,f18t29D1,f30t39D1,f40t49D1,f50t64D1,f65t74D1,f75pD1,less18D2per,f18t29D2per,f30t39D2per,f40t49D2per,f50t64D2per,f65t74D2per,f75pD2per,less18D2,f18t29D2,f30t39D2,f40t49D2,f50t64D2,f65t74D2,f75pD2
Idaho,278474,15.5827572,16,1787065,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,164.29966,19710.69409,29177.65947,30409.05456,52915.03051,69622.99607,76472.62726,0.76,0.63,0.61,0.62,0.64,0.72,0.67,124.8677416,12417.73728,17798.37227,18853.61383,33865.61953,50128.55717,51236.66027,0.24,0.37,0.39,0.38,0.36,0.28,0.33,39.4319184,7292.956814,11379.28719,11555.44073,19049.41098,19494.4389,25235.967
Illinois,2037388,16.07809959,17,12671821,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,1202.05892,144208.5495,213471.3232,222480.5291,387140.0855,509379.8944,559493.5725,0.76,0.63,0.61,0.62,0.64,0.72,0.67,913.5647792,90851.38619,130217.5072,137937.928,247769.6547,366753.524,374860.6936,0.24,0.37,0.39,0.38,0.36,0.28,0.33,288.4941408,53357.16332,83253.81606,84542.60105,139370.4308,142626.3704,184632.8789
Indiana,1125976,16.72518378,18,6732219,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,664.32584,79697.81197,117976.3436,122955.341,213955.5377,281512.1793,309207.8361,0.76,0.63,0.61,0.62,0.64,0.72,0.67,504.8876384,50209.62154,71965.56957,76232.3114,136931.5441,202688.7691,207169.2502,0.24,0.37,0.39,0.38,0.36,0.28,0.33,159.4382016,29488.19043,46010.77399,46723.02957,77023.99356,78823.41021,102038.5859
Iowa,507650,16.08997582,19,3155070,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,299.5135,35932.02186,53190.0243,55434.82174,96462.5611,126920.6962,139407.3746,0.76,0.63,0.61,0.62,0.64,0.72,0.67,227.63026,22637.17377,32445.91482,34369.58948,61736.0391,91382.90127,93402.94097,0.24,0.37,0.39,0.38,0.36,0.28,0.33,71.88324,13294.84809,20744.10948,21065.23226,34726.52199,35537.79494,46004.43361
Kansas,417825,14.3419144,20,2913314,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,246.51675,29574.11018,43778.43377,45626.03052,79394.2078,104462.996,114740.2468,0.76,0.63,0.61,0.62,0.64,0.72,0.67,187.35273,18631.68942,26704.8446,28288.13892,50812.29299,75213.35709,76875.96535,0.24,0.37,0.39,0.38,0.36,0.28,0.33,59.16402,10942.42077,17073.58917,17337.8916,28581.91481,29249.63887,37864.28144
Kentucky,726168,16.25383057,21,4467673,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,428.43912,51398.96474,76085.67629,79296.74703,137984.8814,181553.7243,199415.2948,0.76,0.63,0.61,0.62,0.64,0.72,0.67,325.6137312,32381.34779,46412.26254,49163.98316,88310.32412,130718.6815,133608.2475,0.24,0.37,0.39,0.38,0.36,0.28,0.33,102.8253888,19017.61695,29673.41375,30132.76387,49674.55732,50835.0428,65807.04727
Louisiana,795511,17.11220157,22,4648794,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,469.35149,56307.13807,83351.2251,86868.92638,151161.2892,198890.5938,218457.7957,0.76,0.63,0.61,0.62,0.64,0.72,0.67,356.7071324,35473.49699,50844.24731,53858.73435,96743.22506,143201.2276,146366.7231,0.24,0.37,0.39,0.38,0.36,0.28,0.33,112.6443576,20833.64109,32506.97779,33010.19202,54418.0641,55689.36628,72091.07256
Maine,242445,18.0362175,23,1344212,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,143.04255,17160.52209,25402.65033,26474.72738,46068.87743,60615.16437,66578.58944,0.76,0.63,0.61,0.62,0.64,0.72,0.67,108.712338,10811.12892,15495.6167,16414.33098,29484.08155,43642.91835,44607.65493,0.24,0.37,0.39,0.38,0.36,0.28,0.33,34.330212,6349.393174,9907.03363,10060.39641,16584.79587,16972.24602,21970.93452
Maryland,930567,15.39226357,24,6045680,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,549.03453,65866.54937,97501.98236,101616.8931,176824.3398,232656.7744,255545.9516,0.76,0.63,0.61,0.62,0.64,0.72,0.67,417.2662428,41495.9261,59476.20924,63002.47369,113167.5775,167512.8776,171215.7876,0.24,0.37,0.39,0.38,0.36,0.28,0.33,131.7682872,24370.62327,38025.77312,38614.41936,63656.76232,65143.89683,84330.16404
Massachusetts,1214821,17.62525167,25,6892503,0.00059,0.070781093,0.104776961,0.1091989,0.190017849,0.250016145,0.274613168,716.74439,85986.35818,127285.2527,132657.1173,230837.6735,303724.8638,333605.843,0.76,0.63,0.61,0.62,0.64,0.72,0.67,544.7257364,54171.40565,77644.00412,82247.4127,147736.111,218681.9019,223515.9148,0.24,0.37,0.39,0.38,0.36,0.28,0.33,172.0186536,31814.95253,49641.24854,50409.70456,83101.56245,85042.96186,110089.9282
