State,Administered,Percentage ,id,Popu,Whiteper,Blackper,Hispanicper,Asianper,American Indian_AlaskaNativeper,Native Hawaiian_Pacific Islanderper,Otherper,White,Black,Hispanic,Asian,American Indian_AlaskaNative,Native Hawaiian_Pacific Islander,Other,WhiteD1per,BlackD1per,HispanicD1per,AsianD1per,American Indian_AlaskaNativeD1per,Native Hawaiian_Pacific IslanderD1per,OtherD1per,WhiteD1,BlackD1,HispanicD1,AsianD1,American Indian_AlaskaNativeD1,Native Hawaiian_Pacific IslanderD1,OtherD1,WhiteD2per,BlackD2per,HispanicD2per,AsianD2per,American Indian_AlaskaNativeD2per,Native Hawaiian_Pacific IslanderD2per,OtherD2per,WhiteD2,BlackD2,HispanicD2,AsianD2,American Indian_AlaskaNativeD2,Native Hawaiian_Pacific IslanderD2,OtherD2
Idaho,278474,15.5827572,16,1787065,0.653644605,0.064651112,0.082609858,0.047667292,0.017410539,0.02620246,0.131396347,182023.0278,18003.65376,23004.69762,13274.10136,4848.382568,7296.703735,36590.46645,0.69,0.66,0.67,0.68,0.69,0.66,0.67,125595.8892,11882.41148,15413.14741,9026.388925,3345.383972,4815.824465,24515.61252,0.31,0.34,0.33,0.32,0.31,0.34,0.33,56427.13862,6121.242278,7591.550215,4247.712435,1502.998596,2480.87927,12074.85393
Illinois,2037388,16.07809959,17,12671821,0.74,0.08,0.09,0.05,0.01,0.01,0.03,1507667.12,162991.04,183364.92,101869.4,20373.88,20373.88,61121.64,0.69,0.66,0.67,0.68,0.69,0.66,0.67,1040290.313,107574.0864,122854.4964,69271.192,14057.9772,13446.7608,40951.4988,0.31,0.34,0.33,0.32,0.31,0.34,0.33,467376.8072,55416.9536,60510.4236,32598.208,6315.9028,6927.1192,20170.1412
Indiana,1125976,16.72518378,18,6732219,0.91,0.05,0.02,0.02,0.017410539,0.02620246,0.03,1024638.16,56298.8,22519.52,22519.52,19603.84959,29503.34065,33779.28,0.69,0.66,0.67,0.68,0.69,0.66,0.67,707000.3304,37157.208,15088.0784,15313.2736,13526.65622,19472.20483,22632.1176,0.31,0.34,0.33,0.32,0.31,0.34,0.33,317637.8296,19141.592,7431.4416,7206.2464,6077.193373,10031.13582,11147.1624
Iowa,507650,16.08997582,19,3155070,0.96,0.01,0.02,0.01,0.01,0.01,0.01,487344,5076.5,10153,5076.5,5076.5,5076.5,5076.5,0.69,0.66,0.67,0.68,0.69,0.66,0.67,336267.36,3350.49,6802.51,3452.02,3502.785,3350.49,3401.255,0.31,0.34,0.33,0.32,0.31,0.34,0.33,151076.64,1726.01,3350.49,1624.48,1573.715,1726.01,1675.245
Kansas,417825,14.3419144,20,2913314,0.653644605,0.064651112,0.082609858,0.047667292,0.017410539,0.02620246,0.131396347,273109.0571,27012.85087,34516.46395,19916.58611,7274.558654,10948.04268,54900.67885,0.69,0.66,0.67,0.68,0.69,0.66,0.67,188445.2494,17828.48157,23126.03085,13543.27855,5019.445471,7225.708169,36783.45483,0.31,0.34,0.33,0.32,0.31,0.34,0.33,84663.8077,9184.369296,11390.4331,6373.307555,2255.113183,3722.334511,18117.22402
Kentucky,726168,16.25383057,21,4467673,0.88,0.04,0.082609858,0.01,0.01,0.01,0.07,639027.84,29046.72,59988.63541,7261.68,7261.68,7261.68,50831.76,0.69,0.66,0.67,0.68,0.69,0.66,0.67,440929.2096,19170.8352,40192.38572,4937.9424,5010.5592,4792.7088,34057.2792,0.31,0.34,0.33,0.32,0.31,0.34,0.33,198098.6304,9875.8848,19796.24969,2323.7376,2251.1208,2468.9712,16774.4808
Louisiana,795511,17.11220157,22,4648794,0.66,0.23,0.082609858,0.02,0.01,0.01,0.09,525037.26,182967.53,65717.0508,15910.22,7955.11,7955.11,71595.99,0.69,0.66,0.67,0.68,0.69,0.66,0.67,362275.7094,120758.5698,44030.42404,10818.9496,5489.0259,5250.3726,47969.3133,0.31,0.34,0.33,0.32,0.31,0.34,0.33,162761.5506,62208.9602,21686.62676,5091.2704,2466.0841,2704.7374,23626.6767
Maine,242445,18.0362175,23,1344212,0.97,0.01,0.01,0.01,0.01,0.01,0.131396347,235171.65,2424.45,2424.45,2424.45,2424.45,2424.45,31856.38745,0.69,0.66,0.67,0.68,0.69,0.66,0.67,162268.4385,1600.137,1624.3815,1648.626,1672.8705,1600.137,21343.77959,0.31,0.34,0.33,0.32,0.31,0.34,0.33,72903.2115,824.313,800.0685,775.824,751.5795,824.313,10512.60786
Maryland,930567,15.39226357,24,6045680,0.64,0.17,0.04,0.06,0.01,0.01,0.12,595562.88,158196.39,37222.68,55834.02,9305.67,9305.67,111668.04,0.69,0.66,0.67,0.68,0.69,0.66,0.67,410938.3872,104409.6174,24939.1956,37967.1336,6420.9123,6141.7422,74817.5868,0.31,0.34,0.33,0.32,0.31,0.34,0.33,184624.4928,53786.7726,12283.4844,17866.8864,2884.7577,3163.9278,36850.4532
Massachusetts,1214821,17.62525167,25,6892503,0.82,0.06,0.05,0.05,0.01,0.01,0.02,996153.22,72889.26,60741.05,60741.05,12148.21,12148.21,24296.42,0.69,0.66,0.67,0.68,0.69,0.66,0.67,687345.7218,48106.9116,40696.5035,41303.914,8382.2649,8017.8186,16278.6014,0.31,0.34,0.33,0.32,0.31,0.34,0.33,308807.4982,24782.3484,20044.5465,19437.136,3765.9451,4130.3914,8017.8186
Michigan,1718790,17.21051979,26,9986857,0.75,0.07,0.082609858,0.02,0.01,0.02620246,0.15,1289092.5,120315.3,141988.998,34375.8,17187.9,45036.52554,257818.5,0.69,0.66,0.67,0.68,0.69,0.66,0.67,889473.825,79408.098,95132.62866,23375.544,11859.651,29724.10686,172738.395,0.31,0.34,0.33,0.32,0.31,0.34,0.33,399618.675,40907.202,46856.36934,11000.256,5328.249,15312.41868,85080.105
Minnesota,957275,16.97406852,27,5639632,0.653644605,0.064651112,0.082609858,0.047667292,0.017410539,0.02620246,0.131396347,625717.6393,61888.89324,79080.35188,45630.70656,16666.67417,25082.95951,125782.4385,0.69,0.66,0.67,0.68,0.69,0.66,0.67,431745.1711,40846.66954,52983.83576,31028.88046,11500.00518,16554.75328,84274.2338,0.31,0.34,0.33,0.32,0.31,0.34,0.33,193972.4682,21042.2237,26096.51612,14601.8261,5166.668993,8528.206233,41508.20471
