Sex,PerD1,CountD1,PerD2,CountD2,TotalMF,PerMF,GrandT,PerD1M,PerD1F,PerD2M,PerD2F
Female,58.2,26494104,60.2,13598961,40093065,58.84073102,68138285,27.94525134,38.88284538,13.21401764,19.95788564
Male,41.8,19041415,39.8,9003805,28045220,41.15926898,,,,,
